source_id,kind,auc,panel_size,panel_dist_chars,pop_cognitively_unimpaired,pop_impaired_or_mixed,end_amyloid_status,end_clinical_diagnosis,end_cognitive_decline,plat_somascan,plat_olink,plat_nulisa,plat_simoa,plat_lumipulse,plat_elecsys,plat_msd,plat_mass_spec,population,endpoint,broad_platform,targeted_platform
10.1186/s13024-025-00909-x,abstract,0.81,81.0,671.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.1038/s43587-025-00872-8,abstract,0.72,416.0,415.0,False,False,False,True,False,True,False,False,False,False,False,False,False,impaired_or_unspecified,clinical_diagnosis,True,False
10.1016/j.jare.2025.08.012,abstract,0.835,51.0,77.0,False,True,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.1001/jamaneurol.2026.2650,abstract,0.86,7.0,132.0,True,True,False,False,False,False,False,False,False,False,False,False,False,mixed,unspecified,False,False
10.1038/s41380-026-03708-y,abstract,0.75,3.0,409.0,False,True,True,True,True,False,False,True,False,False,False,False,False,impaired_or_unspecified,amyloid_status,True,False
10.21203/rs.3.rs-4998867/v1,abstract,0.91,51.0,206.0,False,False,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
10.64898/2026.04.14.26350885,abstract,0.9,8.0,410.0,False,False,True,True,False,False,False,False,False,True,False,False,False,impaired_or_unspecified,amyloid_status,False,True
2025_highsensitivity_plasma_proteomics_reveals_diseasespecific_signatures_and_pr.pdf,fulltext,0.81,81.0,677.0,True,True,True,True,True,True,True,True,False,True,True,False,False,mixed,amyloid_status,True,True
10.1111/jnc.70306,abstract,0.71,11.0,271.0,False,True,False,False,True,False,True,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,True,False
10.21203/rs.3.rs-6440485/v1,abstract,0.81,8.0,429.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.1016/j.neuron.2025.02.014,abstract,0.9,173.0,580.0,False,False,False,True,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,clinical_diagnosis,False,False
10.1111/jnc.70306,abstract,0.78,11.0,398.0,False,True,False,False,True,False,True,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,True,False
10.21203/rs.3.rs-10437790/v1,abstract,0.92,257.0,51.0,False,True,False,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,False,False
10.1038/s41380-026-03708-y,abstract,0.9,3.0,466.0,False,True,True,True,True,False,False,True,False,False,False,False,False,impaired_or_unspecified,amyloid_status,True,False
10.1111/jnc.70306,abstract,0.71,11.0,332.0,False,True,False,False,True,False,True,False,False,False,False,False,False,impaired_or_unspecified,cognitive_decline,True,False
10.1038/s41467-025-67656-x,abstract,0.95,51.0,68.0,False,False,False,False,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,unspecified,False,False
2026_discoverydriven_plasma_proteomics_identifies_a_multiprotein_signature_for.pdf,fulltext,0.79,31.0,1404.0,True,True,True,True,True,False,False,False,False,False,False,False,True,mixed,amyloid_status,True,False
